lambda_max,effective_lambda,top_share,selected_opps,baseline_selected_revenue,focus_revenue,total_unmodified,net_vs_baseline_usd,net_vs_baseline_pct
2.0,1.645,0.355,8075,253154318.0,416438853.11,384935607.0,31503246.110000014,8.184030143514365
2.0,1.64,0.36,8189,255895140.0,419668029.6,384935607.0,34732422.600000024,9.022917591512925
2.0,1.635,0.365,8302,257988424.0,421811073.24,384935607.0,36875466.24000001,9.579645418460858
2.0,1.63,0.37,8416,258957608.0,422100901.03999996,384935607.0,37165294.03999996,9.654937959532539
2.0,1.625,0.375,8530,259962369.0,422438849.625,384935607.0,37503242.625,9.742731496647439
2.0,1.62,0.38,8643,260873069.0,422614371.78000003,384935607.0,37678764.78000003,9.788329293216048
2.0,1.615,0.385,8757,261581887.0,422454747.505,384935607.0,37519140.504999995,9.746861506890948
2.0,1.61,0.39,8871,262489513.0,422608115.92999995,384935607.0,37672508.92999995,9.786704125295408
2.0,1.605,0.395,8985,263399173.0,422755672.665,384935607.0,37820065.66500002,9.825036961311827
2.0,1.6,0.4,9098,264621587.0,423394539.20000005,384935607.0,38458932.20000005,9.991004079807064
2.0,1.595,0.405,9212,265526637.0,423514986.015,384935607.0,38579379.014999986,10.022294200234905
2.0,1.59,0.41,9326,265804555.0,422629242.45,384935607.0,37693635.44999999,9.792192451035064
2.0,1.585,0.415,9440,267448221.0,423905430.28499997,384935607.0,38969823.28499997,10.123725261144777
2.0,1.58,0.42,9553,269323900.0,425531762.0,384935607.0,40596155.0,10.546219747345953
2.0,1.575,0.425,9667,269893651.0,425082500.325,384935607.0,40146893.32499999,10.429508882767502
2.0,1.57,0.43,9781,270859869.0,425249994.33000004,384935607.0,40314387.33000004,10.473021096746727
2.0,1.565,0.435,9895,271257179.0,424517485.135,384935607.0,39581878.13499999,10.282727140646152
2.0,1.56,0.44,10008,273088298.0,426017744.88,384935607.0,41082137.879999995,10.672470182785654
2.0,1.555,0.445,10122,273721924.0,425637591.82,384935607.0,40701984.81999999,10.57371261058735
2.0,1.55,0.45,10236,274773748.0,425899309.40000004,384935607.0,40963702.400000036,10.641702574425649
2.0,1.545,0.455,10349,276491801.0,427179832.54499996,384935607.0,42244225.54499996,10.974361627450048
2.0,1.54,0.46,10463,277814909.0,427834959.86,384935607.0,42899352.860000014,11.144553031697079
2.0,1.535,0.465,10577,279504912.0,429040039.91999996,384935607.0,44104432.91999996,11.457613200225447
2.0,1.53,0.47,10691,280496475.0,429159606.75,384935607.0,44223999.75,11.488674714885505
2.0,1.525,0.475,10804,282014796.0,430072563.9,384935607.0,45136956.899999976,11.725846110152126
2.0,1.52,0.48,10918,283925853.0,431567296.56,384935607.0,46631689.56,12.11415330564627
2.0,1.515,0.485,11032,285231772.0,432126134.58000004,384935607.0,47190527.58000004,12.259330319629292
2.0,1.51,0.49,11146,285763178.0,431502398.78000003,384935607.0,46566791.78000003,12.097293919603548
2.0,1.505,0.495,11259,286178196.0,430698184.97999996,384935607.0,45762577.97999996,11.888372275210157
2.0,1.5,0.5,11373,287340466.0,431010699.0,384935607.0,46075092.0,11.96955832667359
2.0,1.495,0.505,11487,289486178.0,432781836.11,384935607.0,47846229.110000014,12.429670895579159
2.0,1.49,0.51,11600,291907934.0,434942821.66,384935607.0,50007214.660000026,12.99105973846686
2.0,1.485,0.515,11714,292386142.0,434193420.86999995,384935607.0,49257813.869999945,12.796377621153642
2.0,1.48,0.52,11828,293495784.0,434373760.32,384935607.0,49438153.31999999,12.843226872488312
2.0,1.475,0.525,11942,294943465.0,435041610.875,384935607.0,50106003.875,13.016723567222499
2.0,1.47,0.53,12055,296176894.0,435380034.18,384935607.0,50444427.18000001,13.104640428860105
2.0,1.465,0.535,12169,296956423.0,435041159.69499993,384935607.0,50105552.69499993,13.016606358008321
2.0,1.46,0.54,12283,298614248.0,435976802.08,384935607.0,51041195.07999998,13.259671007779739
2.0,1.455,0.545,12397,299644381.0,435982574.355,384935607.0,51046967.35500002,13.261170550792922
2.0,1.45,0.55,12510,300451084.0,435654071.8,384935607.0,50718464.80000001,13.175830938393807
2.0,1.445,0.555,12624,301481752.0,435641131.6399999,384935607.0,50705524.639999926,13.172469295624278
2.0,1.44,0.56,12738,302998527.0,436317878.88,384935607.0,51382271.879999995,13.348277204192227
2.0,1.435,0.565,12851,303774680.0,435916665.8,384935607.0,50981058.80000001,13.244048581871004
2.0,1.43,0.57,12965,304250999.0,435078928.57,384935607.0,50143321.56999999,13.026418096468785
2.0,1.425,0.575,13079,305924762.0,435942785.84999996,384935607.0,51007178.849999964,13.250834145358748
2.0,1.42,0.58,13193,306612920.0,435390346.4,384935607.0,50454739.399999976,13.107319375627412
2.0,1.415,0.585,13306,307123712.0,434580052.48,384935607.0,49644445.48000002,12.896818215104755
2.0,1.41,0.59,13420,307586399.0,433696822.59000003,384935607.0,48761215.59000003,12.667369477721513
2.0,1.405,0.595,13534,308701072.0,433725006.16,384935607.0,48789399.160000026,12.67469111009001
2.0,1.4,0.6,13648,310678520.0,434949928.0,384935607.0,50014321.0,12.992905849834768
2.0,1.395,0.605,13761,311528881.0,434582788.995,384935607.0,49647181.995000005,12.89752911712323
2.0,1.39,0.61,13875,312694077.0,434644767.03000003,384935607.0,49709160.03000003,12.913630000978337
2.0,1.385,0.615,13989,313973161.0,434852827.985,384935607.0,49917220.985000014,12.967680847721642
2.0,1.38,0.62,14103,314427853.0,433910437.14,384935607.0,48974830.139999986,12.72286305797634
2.0,1.375,0.625,14216,315357858.0,433617054.75,384935607.0,48681447.75,12.646647092327834
2.0,1.37,0.63,14330,316037435.0,432971285.95000005,384935607.0,48035678.95000005,12.478886877825278
2.0,1.365,0.635,14444,316709225.0,432308092.125,384935607.0,47372485.125,12.306599925685745
2.0,1.36,0.64,14557,317814268.0,432227404.47999996,384935607.0,47291797.47999996,12.28563858993692
2.0,1.355,0.645,14671,319242209.0,432573193.195,384935607.0,47637586.19499999,12.375468865108141
2.0,1.35,0.65,14785,319981924.0,431975597.40000004,384935607.0,47039990.400000036,12.220223212554092
2.0,1.345,0.655,14899,320993586.0,431736373.17,384935607.0,46800766.17000002,12.158076654623429
2.0,1.34,0.66,15012,321775546.0,431179231.6399999,384935607.0,46243624.639999926,12.01334036110615
