n_reps,opps_covered,revenue_retained,gross_margin_retained,sales_effort_cost,commission_cost,acquisition_cost,serving_cost,salesforce_cost,net_margin,net_margin_vs_baseline,revenue_share_retained,contribution_share_of_baseline,cost_share_of_baseline,marginal_revenue_last_batch,marginal_cost_last_rep,marginal_roi,baseline_reps,baseline_cost,baseline_revenue,baseline_gross_margin,baseline_effort_cost,baseline_commission_cost,baseline_acquisition_cost,baseline_serving_cost,baseline_total_cost,baseline_contribution
18,1800,130189484.0,85534643.38,2430000.0,9113263.88,3879550.0,10415158.72,25837972.6,59696670.78,-60972475.53,0.33821107123509103,0.4947136248618083,0.1951372305671863,2996427.4699999997,1315643.75,2.2775371144354235,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
19,1900,133417520.0,87664241.02000001,2565000.0,9339226.400000002,4064000.0,10673401.6,26641628.0,61022613.02,-59646533.29,0.34659698290784513,0.5057018706607274,0.20120671177278074,1325942.2400000002,803655.4,1.649889044483494,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
20,2000,136874652.0,89913519.08,2700000.0,9581225.64,4258300.0,10949972.16,27489497.8,62424021.28,-58245125.03,0.35557804866828024,0.5173155126135739,0.20761011529111847,1401408.26,847869.8,1.6528578562416067,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
21,2100,139774348.0,91871398.66,2835000.0,9784204.360000001,4440300.0,11181947.84,28241452.2,63629946.45999999,-57039199.85000001,0.3631109865084526,0.5273091623316382,0.21328913281313605,1205925.1800000002,751954.4,1.60372115649566,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
22,2200,143277329.0,94161325.32,2970000.0,10029413.030000001,4633650.0,11462186.32,29095249.35,65066075.96999999,-55603070.34000001,0.37221116050196934,0.5392105435373241,0.2197373017115409,1436129.5099999998,853797.15,1.682050016212867,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
23,2300,146748709.0,96501111.28,3105000.0,10272409.63,4823750.0,11739896.72,29941056.35,66560054.93000001,-54109091.379999995,0.38122924024536914,0.5515913302229444,0.22612512625681272,1493978.96,845807.0,1.7663355351752823,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
24,2400,150284851.0,98794353.02000001,3240000.0,10519939.570000002,5022450.0,12022788.08,30805177.65,67989175.37,-52679970.94,0.39041556111487496,0.5634346264067807,0.23265126667682834,1429120.4400000006,864121.3,1.6538423945804837,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
25,2500,152682892.0,100387188.74000001,3375000.0,10687802.440000001,5239550.0,12214631.36,31516983.8,68870204.94000001,-51798941.36999999,0.3966452809859182,0.5707358263981739,0.23802707084544533,881029.5700000001,711806.1499999999,1.2377380695572806,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
26,2600,157911264.0,103753155.66000001,3510000.0,11053788.48,5448700.0,12632901.120000001,32645389.6,71107766.06,-49561380.25,0.41022773972686816,0.5892787695482952,0.2465491784495052,2237561.12,1128405.8,1.9829401089572563,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
27,2700,160169863.0,105208954.94,3645000.0,11211890.41,5648700.0,12813589.04,33319179.45,71889775.49000001,-48779370.81999999,0.4160952119973666,0.5957593775074417,0.25163787048230346,782009.4300000002,673789.8500000001,1.1606132535240774,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
28,2800,161506776.0,106101312.96000001,3780000.0,11305474.32,5859800.0,12920542.079999998,33865816.4,72235496.56000002,-48433649.749999985,0.41956829418485053,0.5986244103726933,0.25576626020544657,345721.06999999995,546636.9500000001,0.6324509713439603,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
29,2900,163452456.0,107397283.26,3915000.0,11441671.920000002,6063250.0,13076196.479999999,34496118.4,72901164.86,-47767981.45,0.4246228538686472,0.6041408851332745,0.26052651708028196,665668.3,630302.0,1.0561100869107192,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
30,3000,166023409.0,109114161.38,4050000.0,11621638.63,6286100.0,13281872.719999999,35239611.35,73874550.03,-46794596.28,0.4313017709478874,0.612207447297387,0.26614163082992764,973385.1700000002,743492.95,1.3092056488228976,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
31,3100,169221993.0,111254302.26,4185000.0,11845539.51,6503350.0,13537759.440000001,36071648.95,75182653.31,-45486493.0,0.43961117112244696,0.6230478594491351,0.2724254641439922,1308103.2799999998,832037.6000000001,1.5721684693095597,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
32,3200,171027676.0,112472518.16,4320000.0,11971937.320000002,6699050.0,13682214.08,36673201.4,75799316.75999999,-44869829.55000001,0.4443020414061098,0.628158225013633,0.27696859455716966,616663.4500000002,601552.45,1.02512000408277,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
33,3300,171570716.0,112819515.94,4455000.0,12009950.120000003,6934050.0,13725657.280000001,37124657.400000006,75694858.53999999,-44974287.77000001,0.44571277086351746,0.6272925669461462,0.28037814510228254,-104458.22000000003,451456.0,-0.23138073256308483,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
34,3400,173187638.0,113824052.85999998,4590000.0,12123134.660000002,7170150.0,13855011.040000001,37738295.7,76085757.15999998,-44583389.15000002,0.44991327081882554,0.6305319917034555,0.28501255199967024,390898.62,613638.3,0.6370179631877606,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
35,3500,175396212.0,115214938.62,4725000.0,12277734.840000002,7385250.0,14031696.959999999,38419681.800000004,76795256.82000001,-43873889.489999995,0.4556507862885233,0.636411702314628,0.2901586135177081,709499.66,681386.1,1.0412593682201619,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
36,3600,176939135.0,116230166.25999999,4860000.0,12385739.450000001,7579800.0,14155130.8,38980670.25,77249496.00999999,-43419650.30000001,0.4596590488964561,0.64017603813609,0.29439539069089765,454239.19000000006,560988.4500000001,0.8097121963919222,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
