age_bucket,n_rows,amount_min,amount_max,observed_mean_amount,observed_stddev_amount_sample,theoretical_mean_uniform_from_minmax,theoretical_stddev_uniform_from_minmax,mean_difference_observed_minus_theoretical,stddev_difference_observed_minus_theoretical
0-15,11752,0.0,1000000.0,93946.73230088495,135924.1088979551,500000.0,288675.1345948129,-406053.26769911504,-152751.02569685777
16-30,18370,0.0,1000000.0,92360.79684267828,134604.27647207596,500000.0,288675.1345948129,-407639.2031573217,-154070.8581227369
31-45,13018,0.0,1000000.0,92342.26194499923,135003.96023296015,500000.0,288675.1345948129,-407657.7380550008,-153671.17436185273
46-60,10814,0.0,1000000.0,94428.6651562789,136696.08233248504,500000.0,288675.1345948129,-405571.3348437211,-151979.05226232784
61-75,11744,0.0,1000000.0,90200.92668596731,130343.89319365646,500000.0,288675.1345948129,-409799.0733140327,-158331.2414011564
76-90,10649,0.0,1000000.0,86304.9116348953,122316.58601222075,500000.0,288675.1345948129,-413695.0883651047,-166358.5485825921
91-120,1640,0.0,1000000.0,88112.08658536585,144929.9528631336,500000.0,288675.1345948129,-411887.9134146342,-143745.18173167927
121+,38,0.0,469000.0,82099.31578947368,120337.64025690501,234500.0,135388.63812496726,-152400.68421052632,-15050.997868062244
