Opportunity Number,rows_for_id,distinct_full_rows,distinct_states_excl_id,is_exact_repeat_only,changed_columns_count,changed_columns
9649176,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
9743892,2,2,2,False,1,Opportunity Amount USD
9774974,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
9800649,2,2,2,False,1,Opportunity Amount USD
9877355,2,1,1,True,0,
9913584,2,2,2,False,1,Opportunity Amount USD
9966812,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
9986350,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
1724032,2,1,1,True,0,
4787647,3,3,3,False,3,"Supplies Group, Supplies Subgroup, Opportunity Amount USD"
5210752,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
5743311,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
5822310,2,2,2,False,3,"Supplies Group, Supplies Subgroup, Opportunity Amount USD"
5839656,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
5872991,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
5885433,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
5929750,2,2,2,False,2,"Supplies Subgroup, Opportunity Amount USD"
5984513,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
5984525,2,2,2,False,1,Opportunity Amount USD
6084951,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6221010,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6266750,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6275830,2,1,1,True,0,
6335215,2,2,2,False,1,Supplies Subgroup
6422720,2,2,2,False,1,Opportunity Amount USD
6498008,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6504421,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6545510,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6600541,2,2,2,False,1,Opportunity Amount USD
6604360,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6653518,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6693964,2,2,2,False,1,Opportunity Amount USD
6696753,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6759661,2,2,2,False,1,Opportunity Amount USD
6824479,2,1,1,True,0,
6825049,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6827983,2,1,1,True,0,
6851136,2,2,2,False,1,Opportunity Amount USD
6978331,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7016652,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
7028747,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7054914,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7055542,2,1,1,True,0,
7081717,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
7129100,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7144393,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7169763,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
7204863,2,1,1,True,0,
7239544,3,3,3,False,1,Opportunity Amount USD
7254786,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7292688,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7305882,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
7316314,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7322354,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
7343631,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
7360582,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7367921,2,2,2,False,1,Opportunity Amount USD
7387626,2,1,1,True,0,
7466175,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7619305,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
7658131,2,1,1,True,0,
7774423,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7812028,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7835914,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7864387,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7884410,2,1,1,True,0,
7902106,2,1,1,True,0,
7914169,2,1,1,True,0,
8003017,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
8050982,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
8306592,2,1,1,True,0,
8382109,2,2,2,False,1,Opportunity Amount USD
8445253,3,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
8467576,2,1,1,True,0,
8476177,2,2,2,False,1,Opportunity Amount USD
8515211,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
8555599,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
9361151,2,1,1,True,0,
9389467,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
9410895,2,1,1,True,0,
9573694,2,1,1,True,0,
9682532,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
9690002,2,1,1,True,0,
9782603,4,2,2,False,1,Opportunity Amount USD
9916456,2,2,2,False,1,Opportunity Amount USD
